Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
34725,0,-0.24,0.00,10.065,0.005,0.297,0,0
34774,0,-0.23,-0.52,10.070,0.096,0.192,0,0
34826,0,-0.21,0.86,10.027,0.101,0.182,0,0
34877,0,-0.21,-1.01,10.036,0.086,0.235,0,0
34929,0,-0.21,0.34,10.046,0.101,0.134,0,0
34980,0,-0.23,0.00,10.022,0.124,0.172,0,0
35031,0,-0.21,0.86,10.022,0.081,0.201,0,0
35081,0,-0.22,-1.01,10.013,0.086,0.158,0,0
35131,0,-0.21,0.35,10.070,0.081,0.120,0,0
35181,0,-0.20,0.00,10.056,0.139,0.105,0,0
35232,0,-0.23,-0.20,10.013,0.115,0.206,0,0
35282,0,-0.26,-1.13,10.084,0.120,0.215,0,0
35334,0,-0.24,0.00,10.075,0.120,0.163,0,0
35385,0,-0.26,-1.01,10.056,0.134,0.110,0,0
35437,0,-0.25,0.34,10.036,0.144,0.134,0,0
35488,0,-0.26,0.00,10.036,0.158,0.139,0,0
35540,0,-0.29,-1.53,10.046,0.177,0.134,0,0
35592,0,-0.32,0.00,10.027,0.158,0.105,0,0
35643,0,-0.34,-1.09,10.022,0.163,0.057,0,0
35695,0,-0.32,0.71,10.032,0.148,0.105,0,0
35746,0,-0.35,-1.01,10.036,0.124,0.115,0,0
35798,0,-0.34,0.36,10.070,0.153,0.038,0,0
35850,0,-0.37,0.00,10.041,0.139,0.072,0,0
35900,0,-0.36,0.34,9.993,0.134,0.115,0,0
35950,0,-0.36,-0.52,10.032,0.124,0.120,0,0
36001,0,-0.36,0.31,10.013,0.177,0.081,0,0
36051,0,-0.37,0.00,10.060,0.139,0.115,0,0
36102,0,-0.39,-1.13,10.036,0.124,0.172,0,0
36154,0,-0.39,-0.15,10.036,0.115,0.148,0,0
36205,0,-0.39,0.00,10.056,0.110,0.139,0,0
36257,0,-0.40,-0.15,10.065,0.115,0.124,0,0
36308,0,-0.43,-1.01,10.032,0.105,0.038,0,0
